PROJ_NAME,TRACK_GROUP,TRACK,DOMAIN,TASK,,,
Alkermes,WINTEL DOMAIN,Citrix,"Tools, Optibot, Python & Misc",Verifying Servers in the farm connection through CMC,,,
Alkermes,WINTEL DOMAIN,Citrix,Powershell,Generate Monthly Performance Analysis report,,,
Alkermes,WINTEL DOMAIN,Citrix,"Tools, Optibot, Python & Misc",Alerts for Servers,,,
Alkermes,WINTEL DOMAIN,Citrix,"Tools, Optibot, Python & Misc",Citrix Servers Auto Reboot,,,
Ann Taylor,WINTEL DOMAIN,GAM,Powershell,Duplicate account validation and user id suggestion,,,
Ann Taylor,WINTEL DOMAIN,GAM,Powershell,All temporary user account has to be extended for every 30days.,,,
Ann Taylor,WINTEL DOMAIN,GAM,Powershell,Daily new hire and termination validation,,,
Ann Taylor,WINTEL DOMAIN,"AD, DNS",Powershell,Creating/Deleting/disable User/machine Accounts,,,
Ann Taylor,WINTEL DOMAIN,"AD, DNS",Powershell,AD object Count,,,
Ann Taylor,WINTEL DOMAIN,"AD, DNS",Powershell,AD Report generation for predefined paramters in CSV format,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Hardening Linux OS ,,,
Ann Taylor,UNIX DOMAIN,UNIX & Linux,ShellScript,Reset locked/unlock user account,,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,Check the File System status ,,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,check/start/stop/ NFS Demons,,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,Monitor File System Usage  - using df and du commands,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,"Listing Virtual Memory - swapon,free commands",,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Check Patch/packages,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,collect system config ( physical standalone/vm/cluste node(redhat/suse/vcs)/satellite/DB/SAN coonected),,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Collect system config in RHEL and SUSE template,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Check print queues template,,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,View/List System Processes,,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,"Check Jombie process - using  top,ps commands.",,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Export/Un-export NFS filesystems,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Configure syslog Messaging,,,
